rate_date,currency,rate_per_eur
2023-01-02,CHF,0.942000
2023-01-02,GBP,0.858000
2023-01-02,USD,1.085000
2023-01-03,CHF,0.939352
2023-01-03,GBP,0.853287
2023-01-03,USD,1.081643
2023-01-04,CHF,0.939514
2023-01-04,GBP,0.852568
2023-01-04,USD,1.084886
2023-01-05,CHF,0.934959
2023-01-05,GBP,0.853014
2023-01-05,USD,1.083759
2023-01-06,CHF,0.932524
2023-01-06,GBP,0.856733
2023-01-06,USD,1.082240
2023-01-09,CHF,0.932825
2023-01-09,GBP,0.856778
2023-01-09,USD,1.081949
2023-01-10,CHF,0.929836
2023-01-10,GBP,0.856310
2023-01-10,USD,1.080323
2023-01-11,CHF,0.928040
2023-01-11,GBP,0.860357
2023-01-11,USD,1.077629
2023-01-12,CHF,0.926667
2023-01-12,GBP,0.861659
2023-01-12,USD,1.083451
2023-01-13,CHF,0.927949
2023-01-13,GBP,0.867658
2023-01-13,USD,1.086360
2023-01-16,CHF,0.926819
2023-01-16,GBP,0.869587
2023-01-16,USD,1.093446
2023-01-17,CHF,0.928286
2023-01-17,GBP,0.866762
2023-01-17,USD,1.090736
2023-01-18,CHF,0.931461
2023-01-18,GBP,0.864537
2023-01-18,USD,1.089811
2023-01-19,CHF,0.930199
2023-01-19,GBP,0.864943
2023-01-19,USD,1.085455
2023-01-20,CHF,0.930428
2023-01-20,GBP,0.861937
2023-01-20,USD,1.084825
2023-01-23,CHF,0.929629
2023-01-23,GBP,0.860038
2023-01-23,USD,1.086253
2023-01-24,CHF,0.929797
2023-01-24,GBP,0.858025
2023-01-24,USD,1.079182
2023-01-25,CHF,0.927106
2023-01-25,GBP,0.855636
2023-01-25,USD,1.084615
2023-01-26,CHF,0.928826
2023-01-26,GBP,0.860722
2023-01-26,USD,1.092208
2023-01-27,CHF,0.928303
2023-01-27,GBP,0.861012
2023-01-27,USD,1.093025
2023-01-30,CHF,0.927024
2023-01-30,GBP,0.863886
2023-01-30,USD,1.088320
2023-01-31,CHF,0.924163
2023-01-31,GBP,0.868731
2023-01-31,USD,1.092229
2023-02-01,CHF,0.925554
2023-02-01,GBP,0.871928
2023-02-01,USD,1.095072
2023-02-02,CHF,0.927081
2023-02-02,GBP,0.864794
2023-02-02,USD,1.098453
2023-02-03,CHF,0.924016
2023-02-03,GBP,0.861602
2023-02-03,USD,1.104820
2023-02-06,CHF,0.927564
